Timestamp(ms),IP_Address,RTT(ms),SequenceNum
631344,192.168.1.8,610823,408
631350,192.168.1.15,610830,408
632857,192.168.1.15,612328,409
632863,192.168.1.8,612333,409
634369,192.168.1.15,613831,410
634381,192.168.1.8,613842,410
635885,192.168.1.15,615338,411
635904,192.168.1.8,615356,411
637385,192.168.1.15,616830,412
637397,192.168.1.8,616841,412
638897,192.168.1.15,618333,413
638910,192.168.1.8,618345,413
640408,192.168.1.15,619835,414
640420,192.168.1.8,619846,414
641923,192.168.1.15,621341,415
641929,192.168.1.8,621346,415
643406,192.168.1.15,622815,416
643406,192.168.1.8,622814,416
644913,192.168.1.15,624313,417
644919,192.168.1.8,624318,417
646398,192.168.1.15,625789,418
646417,192.168.1.8,625807,418
647888,192.168.1.15,627270,419
647907,192.168.1.8,627288,419
649406,192.168.1.15,628778,420
649424,192.168.1.8,628795,420
650925,192.168.1.15,630289,421
650943,192.168.1.8,630305,421
652415,192.168.1.15,631770,422
652435,192.168.1.8,631788,422
653943,192.168.1.15,633289,423
653949,192.168.1.8,633293,423
655442,192.168.1.15,634779,424
655461,192.168.1.8,634797,424
656932,192.168.1.15,636259,425
656946,192.168.1.8,636272,425
658440,192.168.1.15,637759,426
658446,192.168.1.8,637763,426
659958,192.168.1.15,639267,427
659971,192.168.1.8,639279,427
661462,192.168.1.15,640762,428
661468,192.168.1.8,640767,428
662951,192.168.1.15,642243,429
662969,192.168.1.8,642259,429
664469,192.168.1.15,643752,430
664477,192.168.1.8,643758,430
665970,192.168.1.15,645243,431
665989,192.168.1.8,645260,431
